listing_id;star_rating;reviews_count;day
23700276;4.5;14;2018-09-27 08:03:53.265088
23700276;4.5;14;2018-09-26 21:17:25.073404
18824088;4.5;69;2018-09-27 08:03:53.265088
18824088;4.5;69;2018-09-26 21:17:25.073404
3728394;4.5;97;2018-09-27 08:03:53.265088
3728394;4.5;97;2018-09-26 21:17:25.073404
21381007;5;19;2018-09-27 08:03:53.265088
21381007;5;19;2018-09-26 21:17:25.073404
14752004;4.5;72;2018-09-27 08:03:53.265088
14752004;4.5;72;2018-09-26 21:17:25.073404
18691947;4;17;2018-09-27 08:03:53.265088
18691947;4;17;2018-09-26 21:17:25.073404
25993989;5;9;2018-09-27 08:03:53.265088
25993989;5;9;2018-09-26 21:17:25.073404
862407;5;179;2018-09-27 08:03:53.265088
862407;5;179;2018-09-26 21:17:25.073404
16890826;5;12;2018-09-27 08:03:53.265088
16890826;5;12;2018-09-26 21:17:25.073404
13912256;4.5;67;2018-09-27 08:03:53.265088
13912256;4.5;67;2018-09-26 21:17:25.073404
4983973;4.5;22;2018-09-27 08:03:53.265088
4983973;4.5;22;2018-09-26 21:17:25.073404
17466943;4.5;55;2018-09-27 08:03:53.265088
17466943;4.5;55;2018-09-26 21:17:25.073404
277555;5;167;2018-09-27 08:03:53.265088
277555;5;167;2018-09-26 21:17:25.073404
4669004;4.5;124;2018-09-27 08:03:53.265088
4669004;4.5;124;2018-09-26 21:17:25.073404
16401270;5;63;2018-09-27 08:03:53.265088
16401270;5;63;2018-09-26 21:17:25.073404
16644286;4.5;40;2018-09-27 08:03:53.265088
16644286;4.5;40;2018-09-26 21:17:25.073404
22187731;5;18;2018-09-27 08:03:53.265088
22187731;5;18;2018-09-26 21:17:25.073404
20590153;4.5;34;2018-09-27 08:03:53.265088
20590153;4.5;34;2018-09-26 21:17:25.073404
661961;4.5;221;2018-09-26 21:17:25.073404
25117497;5;24;2018-09-27 08:03:53.265088
25117497;5;24;2018-09-26 21:17:25.073404
14992207;4.5;5;2018-09-27 08:03:53.265088
14992207;4.5;5;2018-09-26 21:17:25.073404
25024350;4.5;30;2018-09-27 08:03:53.265088
25024350;4.5;30;2018-09-26 21:17:25.073404
1038815;5;52;2018-09-27 08:03:53.265088
1038815;5;52;2018-09-26 21:17:25.073404
22150965;5;14;2018-09-27 08:03:53.265088
22150965;5;14;2018-09-26 21:17:25.073404
6097562;4.5;76;2018-09-27 08:03:53.265088
6097562;4.5;76;2018-09-26 21:17:25.073404
19796151;5;119;2018-09-27 08:03:53.265088
19796151;5;119;2018-09-26 21:17:25.073404
3430844;4.5;76;2018-09-27 08:03:53.265088
3430844;4.5;76;2018-09-26 21:17:25.073404
23558211;4;16;2018-09-27 08:03:53.265088
23558211;4;16;2018-09-26 21:17:25.073404
16888539;4.5;11;2018-09-27 08:03:53.265088
16888539;4.5;11;2018-09-26 21:17:25.073404
451629;5;54;2018-09-27 08:03:53.265088
451629;5;54;2018-09-26 21:17:25.073404
6839715;4;4;2018-09-27 08:03:53.265088
6839715;4;4;2018-09-26 21:17:25.073404
23532976;4.5;6;2018-09-27 08:03:53.265088
23532976;4.5;6;2018-09-26 21:17:25.073404
603267;4.5;104;2018-09-27 08:03:53.265088
603267;4.5;104;2018-09-26 21:17:25.073404
6739175;5;15;2018-09-27 08:03:53.265088
6739175;5;15;2018-09-26 21:17:25.073404
13904782;5;102;2018-09-27 08:03:53.265088
13904782;5;102;2018-09-26 21:17:25.073404
10744247;4;50;2018-09-27 08:03:53.265088
10744247;4;50;2018-09-26 21:17:25.073404
1139385;4.5;17;2018-09-27 08:03:53.265088
1139385;4.5;17;2018-09-26 21:17:25.073404
16297346;5;83;2018-09-27 08:03:53.265088
16297346;5;83;2018-09-26 21:17:25.073404
18633461;4.5;56;2018-09-27 08:03:53.265088
18633461;4.5;56;2018-09-26 21:17:25.073404
3023839;4.5;34;2018-09-27 08:03:53.265088
3023839;4.5;34;2018-09-26 21:17:25.073404
1226049;4.5;65;2018-09-27 08:03:53.265088
1226049;4.5;65;2018-09-26 21:17:25.073404
20852933;4.5;42;2018-09-27 08:03:53.265088
20852933;4.5;42;2018-09-26 21:17:25.073404
447208;5;48;2018-09-27 08:03:53.265088
447208;5;48;2018-09-26 21:17:25.073404
15392759;4.5;75;2018-09-27 08:03:53.265088
15392759;4.5;75;2018-09-26 21:17:25.073404
1102053;4.5;12;2018-09-27 08:03:53.265088
1102053;4.5;12;2018-09-26 21:17:25.073404
21362432;5;20;2018-09-27 08:03:53.265088
21362432;5;20;2018-09-26 21:17:25.073404
9367678;4.5;60;2018-09-27 08:03:53.265088
9367678;4.5;60;2018-09-26 21:17:25.073404
2530770;5;21;2018-09-27 08:03:53.265088
2530770;5;21;2018-09-26 21:17:25.073404
20892078;4;22;2018-09-27 08:03:53.265088
20892078;4;22;2018-09-26 21:17:25.073404
15655780;4.5;120;2018-09-27 08:03:53.265088
15655780;4.5;120;2018-09-26 21:17:25.073404
892158;4.5;196;2018-09-27 08:03:53.265088
892158;4.5;196;2018-09-26 21:17:25.073404
17010159;4.5;25;2018-09-27 08:03:53.265088
17010159;4.5;25;2018-09-26 21:17:25.073404
26054239;5;5;2018-09-27 08:03:53.265088
26054239;5;5;2018-09-26 21:17:25.073404
2823976;5;51;2018-09-27 08:03:53.265088
2823976;5;51;2018-09-26 21:17:25.073404
24586584;5;13;2018-09-27 08:03:53.265088
24586584;5;13;2018-09-26 21:17:25.073404
4470737;4.5;94;2018-09-27 08:03:53.265088
4470737;4.5;94;2018-09-26 21:17:25.073404
7313826;5;32;2018-09-27 08:03:53.265088
7313826;5;32;2018-09-26 21:17:25.073404
17180482;4.5;69;2018-09-27 08:03:53.265088
17180482;4.5;69;2018-09-26 21:17:25.073404
9144409;4;73;2018-09-27 08:03:53.265088
9144409;4;73;2018-09-26 21:17:25.073404
22994483;5;30;2018-09-27 08:03:53.265088
22994483;5;30;2018-09-26 21:17:25.073404
24617513;4;8;2018-09-27 08:03:53.265088
24617513;4;8;2018-09-26 21:17:25.073404
7936602;4;17;2018-09-27 08:03:53.265088
7936602;4;17;2018-09-26 21:17:25.073404
18745056;5;20;2018-09-27 08:03:53.265088
18745056;5;20;2018-09-26 21:17:25.073404
26050143;4;6;2018-09-27 08:03:53.265088
26050143;4;6;2018-09-26 21:17:25.073404
6978963;4.5;30;2018-09-27 08:03:53.265088
6978963;4.5;30;2018-09-26 21:17:25.073404
5998911;5;7;2018-09-27 08:03:53.265088
5998911;5;7;2018-09-26 21:17:25.073404
289572;4;19;2018-09-27 08:03:53.265088
289572;4;19;2018-09-26 21:17:25.073404
7571648;4.5;36;2018-09-27 08:03:53.265088
7571648;4.5;36;2018-09-26 21:17:25.073404
1409619;5;27;2018-09-27 08:03:53.265088
1409619;5;27;2018-09-26 21:17:25.073404
21808589;4.5;8;2018-09-27 08:03:53.265088
21808589;4.5;8;2018-09-26 21:17:25.073404
